Relatório de detalhes dos recursos do grupo de recursos
Todo o período
Status do recurso,Recurso,Nível,Status,Tipo de recurso,Última atualização,Conversões,Valor conv.,Impr.,Cliques,Código da moeda,Custo,Adicionada por
Ativado,"Como funciona
Do briefing à entrega das chaves
Processo claro em 4 passos
https://www.assiscarrer-arquitetura.com/processo.html",Campanha,Qualificado,Sitelink,27 de mai. de 2026 19:54,"3,00","7.500,00",1.352,108,BRL,"86,04",Anunciante
Ativado,Reforma de Apartamento em SJC,Grupo de recursos,Qualificado,Título,24 de mai. de 2026 15:52,"5,00","12.500,00",9.527,372,BRL,"229,84",Anunciante
Ativado,"Comercial
Cafés, lojas e consultórios
Pontos comerciais em SJC
https://www.assiscarrer-arquitetura.com/comercial.html",Campanha,Qualificado,Sitelink,27 de mai. de 2026 19:54,"3,00","7.500,00",1.117,83,BRL,"53,50",Anunciante
Ativado,Arquiteto São José dos Campos,Grupo de recursos,Qualificado,Título longo,24 de mai. de 2026 15:52,"0,00","0,00",197,7,BRL,"1,56",Anunciante
Ativado,Arquiteto São José dos Campos,Grupo de recursos,Qualificado,Título,24 de mai. de 2026 15:52,"3,00","7.500,00",5.643,216,BRL,"165,37",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/228746893565531877,Grupo de recursos,Qualificado,Imagem quadrada,27 de mai. de 2026 20:01,"0,00","0,00",2.023,61,BRL,"39,64",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/16274363722100320693,Grupo de recursos,Qualificado,Imagem quadrada,24 de mai. de 2026 15:52,"1,01","2.513,21",1.960,72,BRL,"71,07",Anunciante
Ativado,https://www.youtube.com/watch?v=EvvF8PQ7oU8,Grupo de recursos,Qualificado,Vídeo vertical do YouTube,24 de mai. de 2026 16:37,"0,00","0,00",54,0,BRL,"0,37",IA do Google
Ativado,Orçamento em até 24 Horas,Grupo de recursos,Qualificado,Título,24 de mai. de 2026 15:52,"43,00","107.500,00",14.920,669,BRL,"428,37",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/9232615293884357718,Grupo de recursos,Qualificado,Imagem vertical,27 de mai. de 2026 20:01,"0,00","0,00",34,1,BRL,"0,09",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/16847417750827310399,Grupo de recursos,Qualificado,Logotipo,24 de mai. de 2026 15:52,"8,50","21.250,00",4.000,163,BRL,"66,20",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/1913288108245965913,Grupo de recursos,Qualificado,Imagem vertical,27 de mai. de 2026 20:01,"0,00","0,00",37,0,BRL,"0,00",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/4744812500432233478,Grupo de recursos,Qualificado,Imagem horizontal,27 de mai. de 2026 20:01,"2,97","7.432,74",885,38,BRL,"16,19",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/12536669100623131152,Grupo de recursos,Qualificado,Imagem horizontal,27 de mai. de 2026 20:01,"0,00","0,00",1.077,43,BRL,"15,81",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/2920504848513059235,Grupo de recursos,Qualificado,Imagem horizontal,24 de mai. de 2026 15:52,"3,00","7.500,00",2.129,89,BRL,"40,37",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/8242395776814499812,Grupo de recursos,Qualificado,Imagem horizontal,24 de mai. de 2026 15:52,"5,99","14.986,79",1.565,64,BRL,"31,08",Anunciante
Ativado,"Projeto autoral que valoriza seu imóvel. Apartamento, casa ou comercial em SJC.",Grupo de recursos,Qualificado,Descrição,27 de mai. de 2026 19:46,"9,02","22.555,05",12.693,522,BRL,"252,65",Anunciante
Ativado,12981534551,Campanha,Qualificado,Ligação,24 de mai. de 2026 15:52,"0,00","0,00",87,0,BRL,"0,00",Anunciante
Ativado,https://www.youtube.com/watch?v=q2fYLOaEd6U,Grupo de recursos,Qualificado,Vídeo horizontal do YouTube,24 de mai. de 2026 16:13,"0,00","0,00",141,4,BRL,"0,79",IA do Google
Ativado,Mais de 100 projetos entregues em 7 anos em SJC.,Grupo de recursos,Qualificado,Descrição,24 de mai. de 2026 15:52,"7,50","18.750,00",3.014,165,BRL,"121,22",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/1484032947805126406,Grupo de recursos,Qualificado, --,27 de mai. de 2026 20:01,"0,00","0,00",78,1,BRL,"0,08",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/13524424369673391008,Grupo de recursos,Qualificado,Logotipo,24 de mai. de 2026 15:52,"14,97","37.432,74",4.349,199,BRL,"73,46",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/17074386793524006972,Grupo de recursos,Qualificado,Imagem quadrada,24 de mai. de 2026 15:52,"0,00","0,00",2.401,82,BRL,"45,70",Anunciante
Ativado,100+ Projetos em 7 Anos SJC,Grupo de recursos,Qualificado,Título,24 de mai. de 2026 15:52,"0,00","0,00",4.139,112,BRL,"93,78",Anunciante
Ativado,https://www.youtube.com/watch?v=MJ7qcrhmNvk,Grupo de recursos,Qualificado,Vídeo quadrado do YouTube,24 de mai. de 2026 16:13,"0,00","0,00",63,4,BRL,"0,80",IA do Google
Ativado,https://tpc.googlesyndication.com/simgad/4800518643161732239,Grupo de recursos,Qualificado,Imagem quadrada,24 de mai. de 2026 15:52,"0,00","0,00",549,20,BRL,"6,44",Anunciante
Ativado,"Falar agora
Orçamento por WhatsApp
Resposta em até 24 horas
https://www.assiscarrer-arquitetura.com/lp-apartamento.html",Campanha,Qualificado,Sitelink,27 de mai. de 2026 19:54,"3,00","7.500,00",1.068,97,BRL,"72,11",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/5168026661831370625,Grupo de recursos,Qualificado,Imagem horizontal,27 de mai. de 2026 20:01,"2,00","5.000,00",1.635,70,BRL,"19,66",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/11357244968790801747,Grupo de recursos,Qualificado, --,27 de mai. de 2026 20:01,"0,00","0,00",30,1,BRL,"0,19",Anunciante
Ativado,https://tpc.googlesyndication.com/simgad/15350392866595352381,Grupo de recursos,Qualificado,Imagem horizontal,27 de mai. de 2026 20:01,"3,50","8.750,00",1.601,74,BRL,"32,34",Anunciante
